2024-05-30 11:35:29.190 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@77c66ac2, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@12e8c5c4, org.springframework.security.web.context.SecurityContextHolderFilter@5784f6b9, org.springframework.security.web.header.HeaderWriterFilter@435a13ac, org.springframework.web.filter.CorsFilter@6f12b637, org.springframework.security.web.authentication.logout.LogoutFilter@6ca6cc1c, net.maku.framework.security.filter.AuthenticationTokenFilter@7940b729, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2f5a23c1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6aefb242, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@27a717a7, org.springframework.security.web.session.SessionManagementFilter@35f59dfe, org.springframework.security.web.access.ExceptionTranslationFilter@150963fe, org.springframework.security.web.access.intercept.AuthorizationFilter@295e9aef]
2024-05-30 11:35:29.342 [main] INFO  com.fhs.common.spring.SpringContextUtil - ------SpringContextUtil setApplicationContext-------
2024-05-30 11:35:29.813 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-05-30 11:35:29.821 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2024-05-30 11:35:29.821 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2024-05-30 11:35:29.823 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2024-05-30 11:35:29.823 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2024-05-30 11:35:29.844 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2024-05-30 11:40:04.614 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-30 11:40:04.644 [main] INFO  net.maku.ServerApplication - Starting ServerApplication using Java 17.0.10 with PID 13596 (D:\JavaPro\eps-background\ske-server\target\classes started by zheng in D:\JavaPro\eps-background)
2024-05-30 11:40:04.644 [main] INFO  net.maku.ServerApplication - The following 1 profile is active: "dev"
2024-05-30 11:40:05.525 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-05-30 11:40:05.527 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-05-30 11:40:05.561 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25 ms. Found 0 Redis repository interfaces.
2024-05-30 11:40:06.263 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-30 11:40:06.270 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-05-30 11:40:06.271 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-05-30 11:40:06.271 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-05-30 11:40:06.326 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-30 11:40:06.327 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1658 ms
2024-05-30 11:40:06.481 [main] INFO  org.redisson.Version - Redisson 3.21.3
2024-05-30 11:40:06.661 [redisson-netty-2-5] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for localhost/127.0.0.1:6379
2024-05-30 11:40:06.696 [redisson-netty-2-20] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for localhost/127.0.0.1:6379
2024-05-30 11:40:06.879 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2024-05-30 11:40:07.419 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection org.postgresql.jdbc.PgConnection@1e4bf55b
2024-05-30 11:40:07.420 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2024-05-30 11:40:07.420 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2024-05-30 11:40:07.421 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2024-05-30 11:40:09.272 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-05-30 11:40:09.339 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7a273fd7, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@38f1f6c9, org.springframework.security.web.context.SecurityContextHolderFilter@11034fdb, org.springframework.security.web.header.HeaderWriterFilter@2787abe4, org.springframework.web.filter.CorsFilter@7d5cbcc9, org.springframework.security.web.authentication.logout.LogoutFilter@b7e53b1, net.maku.framework.security.filter.AuthenticationTokenFilter@4587f0f9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2f7e2481, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@35f59dfe, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3bf31f3e, org.springframework.security.web.session.SessionManagementFilter@2080ee70, org.springframework.security.web.access.ExceptionTranslationFilter@4b391e45, org.springframework.security.web.access.intercept.AuthorizationFilter@786d8b3b]
2024-05-30 11:40:09.494 [main] INFO  com.fhs.common.spring.SpringContextUtil - ------SpringContextUtil setApplicationContext-------
2024-05-30 11:40:09.971 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-05-30 11:40:09.979 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2024-05-30 11:40:09.980 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2024-05-30 11:40:09.981 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2024-05-30 11:40:09.981 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
